TimeSeries ID,instance/network/received_bytes_count.gce_instance.ALIGN_RATE.REDUCE_SUM.metric.type="compute.googleapis.com/instance/network/received_bytes_count" resource.type="gce_instance" resource.labels."instance_id"="987861714045355492" resource.labels."zone"="europe-west4-b" AND resource.labels."project_id"="ddls-owen-gombas".60s.project_id:ddls-owen-gombas.instance_name:instance-20240521-124408
instance_name,instance-20240521-124408
project_id,ddls-owen-gombas
Wed May 22 2024 15:19:00 GMT+0200 (Central European Summer Time),1701.7333333333333
Wed May 22 2024 15:20:00 GMT+0200 (Central European Summer Time),2809.616666666667
Wed May 22 2024 15:21:00 GMT+0200 (Central European Summer Time),1762.5
Wed May 22 2024 15:22:00 GMT+0200 (Central European Summer Time),1090.8166666666666
Wed May 22 2024 15:23:00 GMT+0200 (Central European Summer Time),1068.9333333333334
Wed May 22 2024 15:24:00 GMT+0200 (Central European Summer Time),1121.3166666666666
Wed May 22 2024 15:25:00 GMT+0200 (Central European Summer Time),911.1666666666666
Wed May 22 2024 15:26:00 GMT+0200 (Central European Summer Time),1154.7666666666667
Wed May 22 2024 15:27:00 GMT+0200 (Central European Summer Time),1279.6666666666667
Wed May 22 2024 15:28:00 GMT+0200 (Central European Summer Time),1318.1166666666666
Wed May 22 2024 15:29:00 GMT+0200 (Central European Summer Time),1304.75
Wed May 22 2024 15:30:00 GMT+0200 (Central European Summer Time),1263.6333333333334
Wed May 22 2024 15:31:00 GMT+0200 (Central European Summer Time),1228.3666666666666
Wed May 22 2024 15:32:00 GMT+0200 (Central European Summer Time),1251.5166666666667
Wed May 22 2024 15:33:00 GMT+0200 (Central European Summer Time),1430.25
Wed May 22 2024 15:34:00 GMT+0200 (Central European Summer Time),1528.5666666666666
Wed May 22 2024 15:35:00 GMT+0200 (Central European Summer Time),2093.233333333333
Wed May 22 2024 15:36:00 GMT+0200 (Central European Summer Time),1376.8
Wed May 22 2024 15:37:00 GMT+0200 (Central European Summer Time),1179.0666666666666
Wed May 22 2024 15:38:00 GMT+0200 (Central European Summer Time),1293.6166666666666
Wed May 22 2024 15:39:00 GMT+0200 (Central European Summer Time),1445.1166666666666
Wed May 22 2024 15:40:00 GMT+0200 (Central European Summer Time),1070.5833333333333
Wed May 22 2024 15:41:00 GMT+0200 (Central European Summer Time),1521.8666666666666
Wed May 22 2024 15:42:00 GMT+0200 (Central European Summer Time),2068.4166666666665
Wed May 22 2024 15:43:00 GMT+0200 (Central European Summer Time),235034.63333333333
Wed May 22 2024 15:44:00 GMT+0200 (Central European Summer Time),2743725.3666666667
Wed May 22 2024 15:45:00 GMT+0200 (Central European Summer Time),8712016.233333332
