epoch,start.epoch,end.epoch,start.epoch_calculation,start.discriminator_train,end.discriminator_train,start.generator_train,start.generate_data,end.generate_data,end.generator_train,end.epoch_calculation,start.calc_gradients,end.calc_gradients,absolut_step,mean_d_loss,mean_g_loss,start.train,end.train,start.fid,end.fid,start.is,end.is,fid,is
epoch,start.epoch,end.epoch,start.epoch_calculation,start.discriminator_train,end.discriminator_train,start.generator_train,start.generate_data,end.generate_data,end.generator_train,end.epoch_calculation,start.calc_gradients,end.calc_gradients,absolut_step,mean_d_loss,mean_g_loss,start.train,end.train,start.fid,end.fid,start.is,end.is,fid,is
49,1747365955.5582917,1747365956.5300827,1747365955.5582917,1747365955.6088927,1747365956.4575799,1747365956.4575799,1747365955.5582917,1747365955.6088927,1747365956.5278654,,1747365955.6088927,,49,,,1747365955.5582917,,,,,,,
epoch,start.epoch,end.epoch,start.epoch_calculation,start.discriminator_train,end.discriminator_train,start.generator_train,start.generate_data,end.generate_data,end.generator_train,end.epoch_calculation,start.calc_gradients,end.calc_gradients,absolut_step,mean_d_loss,mean_g_loss,start.train,end.train,start.fid,end.fid,start.is,end.is,fid,is
9,1747366059.1659634,1747366059.6747065,1747366059.1659634,1747366059.2202754,1747366059.6196573,1747366059.6196573,1747366059.1659634,1747366059.2202754,1747366059.6730235,,1747366059.2202754,,9,,,1747366059.1659634,,,,,,,
epoch,start.epoch,end.epoch,start.epoch_calculation,start.discriminator_train,end.discriminator_train,start.generator_train,start.generate_data,end.generate_data,end.generator_train,end.epoch_calculation,start.calc_gradients,end.calc_gradients,absolut_step,mean_d_loss,mean_g_loss,start.train,end.train,start.fid,end.fid,start.is,end.is,fid,is
epoch,start.epoch,end.epoch,start.epoch_calculation,start.discriminator_train,end.discriminator_train,start.generator_train,start.generate_data,end.generate_data,end.generator_train,end.epoch_calculation,start.calc_gradients,end.calc_gradients,absolut_step,mean_d_loss,mean_g_loss,start.train,end.train,start.fid,end.fid,start.is,end.is,fid,is
3,1747366703.81142,1747366703.8914304,1747366703.81142,1747366703.8637292,1747366703.8744612,1747366703.8744612,1747366703.81142,1747366703.8634288,1747366703.884199,,1747366703.8634288,,3,,,1747366703.81142,,,,,,,
4,1747366703.8914304,1747366703.9680095,1747366703.8914304,1747366703.9382691,1747366703.949503,1747366703.949503,1747366703.8914304,1747366703.9382691,1747366703.958567,,1747366703.9382691,,4,,,1747366703.8914304,,,,,,,
5,1747366703.9680095,1747366704.0433836,1747366703.9680095,1747366704.0136333,1747366704.0252738,1747366704.0252738,1747366703.9680095,1747366704.0136333,1747366704.0341043,,1747366704.0136333,,5,,,1747366703.9680095,,,,,,,
6,1747366704.0433836,1747366704.132216,1747366704.0433836,1747366704.094073,1747366704.108417,1747366704.108417,1747366704.0433836,1747366704.094073,1747366704.1226292,,1747366704.094073,,6,,,1747366704.0433836,,,,,,,
7,1747366704.132216,1747366704.2135084,1747366704.132216,1747366704.1823318,1747366704.1937933,1747366704.1937933,1747366704.132216,1747366704.1823318,1747366704.2020662,,1747366704.1823318,,7,,,1747366704.132216,,,,,,,
8,1747366704.2135084,1747366704.2918696,1747366704.2135084,1747366704.2636547,1747366704.2756617,1747366704.2756617,1747366704.2135084,1747366704.2636547,1747366704.2826602,,1747366704.2636547,,8,,,1747366704.2135084,,,,,,,
9,1747366704.2918696,1747366704.3743715,1747366704.2918696,1747366704.3422384,1747366704.354866,1747366704.354866,1747366704.2918696,1747366704.3422384,1747366704.3644943,,1747366704.3422384,,9,,,1747366704.2918696,,,,,,,
10,1747366704.3743715,1747366704.4507625,1747366704.3743715,1747366704.4220273,1747366704.4335368,1747366704.4335368,1747366704.3743715,1747366704.4220273,1747366704.4427605,,1747366704.4220273,,10,,,1747366704.3743715,,,,,,,
11,1747366704.4507625,1747366704.5302436,1747366704.4507625,1747366704.5020823,1747366704.5128865,1747366704.5128865,1747366704.4507625,1747366704.5010138,1747366704.521861,,1747366704.5010138,,11,,,1747366704.4507625,,,,,,,
12,1747366704.5302436,1747366704.6198077,1747366704.5302436,1747366704.5887396,1747366704.5998027,1747366704.5998027,1747366704.5302436,1747366704.5887396,1747366704.6094167,,1747366704.5887396,,12,,,1747366704.5302436,,,,,,,
